Client ID,Service Start Date,pass/fail
2890,7/14/2019,fail
17094,7/3/2022,pass
5721,4/11/2019,fail
10293,7/14/2019,fail
80,7/22/2019,fail
4444,7/14/2019,fail
2458,1/25/2019,fail
5721,1/25/2019,fail
4305,7/14/2019,fail
80,7/14/2019,fail
2476,1/12/2019,fail
9781,1/12/2019,fail
752,1/12/2019,fail
9429,1/12/2019,fail
8479,1/12/2019,fail
5025,1/12/2019,fail
8490,1/12/2019,fail
5220,1/25/2019,fail
6724,1/25/2019,fail
5025,1/12/2019,fail
8171,1/19/2019,fail
5877,1/19/2019,fail
752,1/20/2019,fail
8070,1/20/2019,fail
2476,1/20/2019,fail
5222,1/25/2019,fail
5956,1/25/2019,fail
9655,1/19/2019,fail
2476,1/20/2019,fail
752,1/20/2019,fail
832,7/22/2019,fail
17094,7/3/2022,pass
8490,2/5/2019,fail
6724,7/22/2019,fail
8495,1/14/2019,fail
9143,1/14/2019,fail
752,1/14/2019,fail
9781,1/15/2019,fail
2476,1/15/2019,fail
1152,1/15/2019,fail
1771,1/14/2019,fail
8840,1/14/2019,fail
8479,2/5/2019,fail
2283,1/20/2019,fail
8840,1/14/2019,fail
8840,1/14/2019,fail
9143,1/14/2019,fail
9962,1/14/2019,fail
9143,1/14/2019,fail
752,1/14/2019,fail
9781,1/15/2019,fail
934,1/15/2019,fail
5268,2/5/2019,fail
17094,7/3/2022,pass
8597,4/11/2019,fail
5861,4/12/2019,fail
9655,4/12/2019,fail
8479,4/12/2019,fail
934,2/5/2019,fail
1435,2/5/2019,fail
10004,1/20/2019,fail
4444,1/20/2019,fail
1152,2/5/2019,fail
8479,1/7/2019,fail
2476,1/7/2019,fail
752,1/7/2019,fail
6205,1/7/2019,fail
8049,1/7/2019,fail
8490,1/7/2019,fail
934,1/5/2019,fail
2458,1/5/2019,fail
8840,1/5/2019,fail
7759,1/5/2019,fail
8840,1/6/2019,fail
2924,1/6/2019,fail
8479,2/6/2019,fail
10761,5/20/2019,fail
2157,5/20/2019,fail
9619,4/11/2019,fail
10389,4/11/2019,fail
10189,4/12/2019,fail
9808,4/12/2019,fail
8800,5/20/2019,fail
4530,5/20/2019,fail
5222,5/20/2019,fail
2157,5/20/2019,fail
80,5/20/2019,fail
81,5/20/2019,fail
1704,5/20/2019,fail
6372,5/20/2019,fail
832,5/20/2019,fail
10761,5/20/2019,fail
8840,2/6/2019,fail
17094,7/3/2022,pass
7766,4/11/2019,fail
9624,4/12/2019,fail
5222,5/20/2019,fail
2157,5/20/2019,fail
832,5/20/2019,fail
7727,2/3/2019,fail
5268,2/3/2019,fail
5721,2/5/2019,fail
8405,2/9/2019,fail
5380,2/9/2019,fail
3861,2/9/2019,fail
9082,2/9/2019,fail
8479,2/9/2019,fail
8840,2/3/2019,fail
8744,2/3/2019,fail
7727,2/3/2019,fail
5222,2/9/2019,fail
8490,2/9/2019,fail
8800,5/20/2019,fail
6590,2/9/2019,fail
5071,2/9/2019,fail
752,1/26/2019,fail
2476,1/26/2019,fail
8490,1/26/2019,fail
5268,1/26/2019,fail
794,1/26/2019,fail
6205,1/27/2019,fail
5268,1/27/2019,fail
9619,1/27/2019,fail
752,1/27/2019,fail
2476,1/27/2019,fail
9781,1/29/2019,fail
8422,2/9/2019,fail
9781,1/29/2019,fail
8479,1/28/2019,fail
794,1/28/2019,fail
17094,7/3/2022,pass
832,5/20/2019,fail
832,4/15/2019,fail
9429,4/15/2019,fail
4305,4/15/2019,fail
166,4/12/2019,fail
8490,4/12/2019,fail
9624,4/12/2019,fail
2283,5/20/2019,fail
8490,5/20/2019,fail
2283,5/20/2019,fail
2283,5/20/2019,fail
10173,4/12/2019,fail
8049,4/12/2019,fail
6949,4/12/2019,fail
8597,4/12/2019,fail
8490,5/20/2019,fail
8490,5/20/2019,fail
8479,5/20/2019,fail
10189,4/12/2019,fail
5944,4/12/2019,fail
80,6/21/2019,fail
10751,6/21/2019,fail
8479,5/20/2019,fail
8479,5/20/2019,fail
6073,7/3/2022,pass
752,5/21/2019,fail
8490,5/21/2019,fail
1083,4/1/2019,fail
8840,4/1/2019,fail
10362,4/1/2019,fail
4224,4/1/2019,fail
5268,4/1/2019,fail
8490,4/1/2019,fail
166,4/1/2019,fail
1704,5/21/2019,fail
6372,5/21/2019,fail
10661,5/21/2019,fail
80,5/21/2019,fail
832,4/1/2019,fail
10362,4/1/2019,fail
7019,4/1/2019,fail
81,4/15/2019,fail
1864,5/21/2019,fail
9655,4/15/2019,fail
80,4/15/2019,fail
1704,4/15/2019,fail
4305,4/15/2019,fail
9655,4/15/2019,fail
8490,5/21/2019,fail
537,5/21/2019,fail
8800,5/21/2019,fail
832,5/21/2019,fail
752,4/2/2019,fail
832,5/21/2019,fail
2476,4/1/2019,fail
10362,4/2/2019,fail
1435,4/2/2019,fail
166,4/2/2019,fail
80,4/2/2019,fail
80,4/2/2019,fail
2283,4/2/2019,fail
832,4/2/2019,fail
110,4/2/2019,fail
7766,4/2/2019,fail
8171,4/2/2019,fail
10396,4/2/2019,fail
7069,5/21/2019,fail
2283,5/21/2019,fail
8318,5/21/2019,fail
10457,5/21/2019,fail
4530,4/2/2019,fail
166,4/2/2019,fail
5721,4/2/2019,fail
9655,4/2/2019,fail
8840,4/2/2019,fail
8049,6/6/2019,fail
6590,4/18/2019,fail
80,4/18/2019,fail
1704,4/18/2019,fail
7069,6/6/2019,fail
7069,6/6/2019,fail
537,6/19/2019,fail
81,6/21/2019,fail
7069,6/19/2019,fail
945,4/15/2019,fail
6899,6/6/2019,fail
6899,6/6/2019,fail
832,6/7/2019,fail
80,6/7/2019,fail
5222,6/7/2019,fail
1085,6/7/2019,fail
5861,6/7/2019,fail
8800,6/7/2019,fail
794,6/7/2019,fail
9427,6/7/2019,fail
4444,6/7/2019,fail
8490,6/7/2019,fail
4781,6/10/2019,fail
4444,6/10/2019,fail
81,4/15/2019,fail
80,4/15/2019,fail
8495,4/15/2019,fail
9655,4/18/2019,fail
81,4/18/2019,fail
9655,4/18/2019,fail
9082,6/7/2019,fail
8490,6/10/2019,fail
9083,6/10/2019,fail
4305,6/10/2019,fail
4305,6/10/2019,fail
4312,6/10/2019,fail
8490,6/10/2019,fail
80,6/10/2019,fail
6073,7/3/2022,pass
832,6/10/2019,fail
6899,6/19/2019,fail
9143,4/18/2019,fail
1865,4/18/2019,fail
166,4/18/2019,fail
81,4/12/2019,fail
2440,4/18/2019,fail
80,4/12/2019,fail
10293,4/16/2019,fail
8840,4/18/2019,fail
4305,4/18/2019,fail
9655,4/18/2019,fail
2440,4/18/2019,fail
80,4/18/2019,fail
81,4/18/2019,fail
832,6/10/2019,fail
7942,6/19/2019,fail
832,6/10/2019,fail
4219,6/19/2019,fail
81,6/19/2019,fail
4444,6/19/2019,fail
7942,6/21/2019,fail
9624,6/7/2019,fail
2440,4/3/2019,fail
8479,4/3/2019,fail
81,4/3/2019,fail
8479,4/3/2019,fail
752,4/3/2019,fail
2440,4/3/2019,fail
5380,4/3/2019,fail
8490,4/3/2019,fail
7069,4/3/2019,fail
832,4/3/2019,fail
8840,4/3/2019,fail
80,4/3/2019,fail
2283,4/3/2019,fail
166,4/16/2019,fail
8049,4/16/2019,fail
81,4/16/2019,fail
80,4/16/2019,fail
6082,4/4/2019,fail
3601,4/4/2019,fail
8490,4/4/2019,fail
5380,4/4/2019,fail
6462,4/4/2019,fail
9082,4/4/2019,fail
5888,4/5/2019,fail
5861,4/4/2019,fail
5268,4/4/2019,fail
6082,4/4/2019,fail
3601,4/4/2019,fail
5861,4/4/2019,fail
80,4/4/2019,fail
7019,4/4/2019,fail
7766,4/4/2019,fail
9619,4/5/2019,fail
305,6/11/2019,fail
80,6/11/2019,fail
80,6/11/2019,fail
8490,6/11/2019,fail
934,6/11/2019,fail
537,6/11/2019,fail
619,6/11/2019,fail
8490,4/4/2019,fail
8049,4/4/2019,fail
80,4/4/2019,fail
9619,4/5/2019,fail
8490,4/5/2019,fail
1512,6/11/2019,fail
6879,6/11/2019,fail
5380,6/11/2019,fail
1704,4/12/2019,fail
945,4/16/2019,fail
10394,4/4/2019,fail
172,4/4/2019,fail
5222,5/22/2019,fail
10363,5/22/2019,fail
10661,6/11/2019,fail
6994,6/11/2019,fail
6558,2/18/2019,fail
8049,2/18/2019,fail
6590,2/18/2019,fail
4444,2/18/2019,fail
8422,2/18/2019,fail
1704,5/22/2019,fail
8479,5/22/2019,fail
81,5/22/2019,fail
80,5/22/2019,fail
6724,4/16/2019,fail
3868,4/22/2019,fail
6590,4/16/2019,fail
4530,4/29/2019,fail
9655,5/22/2019,fail
166,5/22/2019,fail
10293,5/22/2019,fail
8318,5/22/2019,fail
9655,5/22/2019,fail
8800,5/22/2019,fail
537,5/22/2019,fail
5222,2/13/2019,fail
9429,2/13/2019,fail
2283,2/13/2019,fail
81,2/13/2019,fail
3861,2/14/2019,fail
10362,4/16/2019,fail
5861,5/22/2019,fail
8422,2/14/2019,fail
8840,2/14/2019,fail
10363,5/22/2019,fail
8479,5/22/2019,fail
4530,4/16/2019,fail
4506,4/17/2019,fail
8800,4/17/2019,fail
9619,4/22/2019,fail
7069,4/22/2019,fail
6724,4/22/2019,fail
1704,4/29/2019,fail
1704,4/29/2019,fail
6372,4/29/2019,fail
5380,2/14/2019,fail
80,2/14/2019,fail
4303,2/14/2019,fail
9143,2/14/2019,fail
1083,5/22/2019,fail
6179,5/23/2019,fail
8840,2/18/2019,fail
3861,2/18/2019,fail
794,2/18/2019,fail
5944,2/18/2019,fail
6590,2/18/2019,fail
752,2/18/2019,fail
7766,5/23/2019,fail
81,2/18/2019,fail
80,2/18/2019,fail
8171,2/18/2019,fail
5222,2/18/2019,fail
2458,2/18/2019,fail
6590,2/17/2019,fail
81,2/15/2019,fail
80,2/15/2019,fail
9781,2/15/2019,fail
5721,2/15/2019,fail
4530,2/15/2019,fail
5220,2/15/2019,fail
10189,2/15/2019,fail
10237,2/15/2019,fail
5222,2/15/2019,fail
3861,2/16/2019,fail
6180,2/16/2019,fail
8680,2/16/2019,fail
8479,2/16/2019,fail
2458,2/16/2019,fail
2924,2/16/2019,fail
5268,2/17/2019,fail
9127,2/17/2019,fail
619,4/17/2019,fail
4306,4/17/2019,fail
4506,4/17/2019,fail
3861,4/17/2019,fail
1865,4/17/2019,fail
9655,4/22/2019,fail
5222,5/22/2019,fail
5861,5/23/2019,fail
9082,4/23/2019,fail
81,4/29/2019,fail
6372,5/22/2019,fail
4530,5/23/2019,fail
4306,4/17/2019,fail
6073,7/3/2022,pass
8840,4/22/2019,fail
305,4/23/2019,fail
10457,5/23/2019,fail
8490,6/19/2019,fail
7069,6/19/2019,fail
10917,6/19/2019,fail
9781,6/19/2019,fail
5861,6/19/2019,fail
10917,6/19/2019,fail
80,6/19/2019,fail
9143,6/20/2019,fail
4305,6/19/2019,fail
8479,6/20/2019,fail
1085,6/20/2019,fail
9621,6/19/2019,fail
5861,6/20/2019,fail
81,5/23/2019,fail
80,5/23/2019,fail
1704,4/24/2019,fail
4305,4/29/2019,fail
8479,4/24/2019,fail
1704,5/23/2019,fail
3063,4/23/2019,fail
5861,4/23/2019,fail
80,5/23/2019,fail
9621,4/8/2019,fail
4530,4/8/2019,fail
5268,4/8/2019,fail
8479,4/8/2019,fail
6876,4/8/2019,fail
166,4/8/2019,fail
8479,5/23/2019,fail
80,4/8/2019,fail
8479,4/8/2019,fail
166,4/8/2019,fail
8490,4/8/2019,fail
9621,4/8/2019,fail
6372,5/23/2019,fail
6179,5/23/2019,fail
10362,5/23/2019,fail
6073,7/3/2022,pass
4781,4/8/2019,fail
9619,4/8/2019,fail
537,5/23/2019,fail
10362,4/8/2019,fail
752,4/8/2019,fail
537,4/23/2019,fail
8049,5/23/2019,fail
5861,4/23/2019,fail
5888,4/23/2019,fail
752,4/23/2019,fail
5888,4/23/2019,fail
8800,4/23/2019,fail
1704,4/24/2019,fail
8490,4/24/2019,fail
10363,5/23/2019,fail
9655,5/23/2019,fail
10363,5/23/2019,fail
81,4/24/2019,fail
7766,5/23/2019,fail
4444,4/24/2019,fail
9655,4/29/2019,fail
2283,4/29/2019,fail
5861,5/23/2019,fail
8800,5/23/2019,fail
8800,5/23/2019,fail
8479,6/19/2019,fail
2283,7/29/2019,fail
4283,7/29/2019,fail
537,7/29/2019,fail
752,7/29/2019,fail
8840,4/25/2019,fail
5888,4/24/2019,fail
832,4/24/2019,fail
9143,4/25/2019,fail
10617,4/29/2019,fail
80,4/29/2019,fail
5861,4/30/2019,fail
1864,4/30/2019,fail
8049,2/21/2019,fail
6590,2/21/2019,fail
166,2/21/2019,fail
6590,2/21/2019,fail
6073,7/3/2022,pass
8490,4/24/2019,fail
80,4/24/2019,fail
945,4/24/2019,fail
832,4/24/2019,fail
8800,4/24/2019,fail
80,4/24/2019,fail
81,4/24/2019,fail
7069,4/29/2019,fail
10362,4/30/2019,fail
12230,4/25/2019,fail
10980,7/12/2019,fail
81,2/22/2019,fail
80,2/22/2019,fail
9781,2/22/2019,fail
5071,2/22/2019,fail
9921,2/22/2019,fail
8049,2/22/2019,fail
5944,2/22/2019,fail
81,2/22/2019,fail
80,2/22/2019,fail
3063,2/22/2019,fail
81,2/22/2019,fail
80,2/22/2019,fail
8479,2/22/2019,fail
6590,2/22/2019,fail
10237,2/22/2019,fail
4530,2/22/2019,fail
8597,2/22/2019,fail
81,2/23/2019,fail
80,2/23/2019,fail
10189,2/23/2019,fail
6205,2/23/2019,fail
6590,2/23/2019,fail
8495,2/23/2019,fail
81,2/20/2019,fail
80,2/20/2019,fail
9781,2/26/2019,fail
6590,2/26/2019,fail
752,2/26/2019,fail
6724,2/26/2019,fail
81,2/26/2019,fail
80,2/26/2019,fail
9082,2/26/2019,fail
9143,2/26/2019,fail
8840,2/26/2019,fail
8680,2/26/2019,fail
9707,2/26/2019,fail
6879,2/26/2019,fail
8049,2/26/2019,fail
2924,2/26/2019,fail
9143,2/26/2019,fail
8479,2/26/2019,fail
8490,2/26/2019,fail
7003,2/26/2019,fail
4707,2/26/2019,fail
3063,2/26/2019,fail
305,2/26/2019,fail
2476,2/26/2019,fail
81,2/26/2019,fail
80,2/26/2019,fail
6590,2/26/2019,fail
8680,2/26/2019,fail
9781,2/26/2019,fail
5268,2/26/2019,fail
8479,2/26/2019,fail
4306,2/26/2019,fail
9128,2/26/2019,fail
5222,2/26/2019,fail
81,2/26/2019,fail
80,2/26/2019,fail
5721,2/26/2019,fail
6724,2/26/2019,fail
9808,2/26/2019,fail
8490,7/12/2019,fail
6590,7/3/2022,fail
934,7/12/2019,fail
6899,7/12/2019,fail
10529,7/12/2019,fail
1865,4/18/2019,fail
7069,7/12/2019,fail
10363,7/12/2019,fail
1083,2/27/2019,fail
8680,2/27/2019,fail
5222,2/27/2019,fail
9781,2/27/2019,fail
4426,2/27/2019,fail
9808,2/28/2019,fail
81,2/27/2019,fail
80,2/27/2019,fail
10189,2/28/2019,fail
6590,7/3/2022,fail
10237,2/28/2019,fail
6590,2/28/2019,fail
10189,2/28/2019,fail
5721,2/28/2019,fail
8840,2/28/2019,fail
